# participant_id, threatcond, gain_value, lose_value, time, Gamble?, group
39,threat,14,14,1228,y,healthy
39,threat,38,13,1557,y,healthy
39,threat,22,16,1811,y,healthy
39,threat,16,12,1360,y,healthy
39,threat,34,13,1296,y,healthy
39,threat,38,14,1260,y,healthy
39,threat,36,20,1292,n,healthy
39,threat,36,15,1256,y,healthy
39,threat,32,12,1136,y,healthy
39,threat,12,13,1513,n,healthy
39,threat,12,6,1106,y,healthy
39,threat,18,8,1065,y,healthy
39,threat,32,6,738,y,healthy
39,threat,24,19,1942,y,healthy
39,threat,38,9,1270,y,healthy
39,threat,10,13,1602,n,healthy
39,threat,18,15,1761,n,healthy
39,threat,22,14,1678,n,healthy
39,threat,12,5,1133,y,healthy
39,threat,20,17,1774,y,healthy
39,threat,18,6,1210,y,healthy
39,threat,30,8,1827,y,healthy
39,threat,24,9,1015,y,healthy
39,threat,16,17,1109,n,healthy
39,threat,40,7,1132,y,healthy
39,threat,40,10,1476,y,healthy
39,threat,30,11,1960,y,healthy
39,threat,32,5,1015,y,healthy
39,threat,34,17,1240,y,healthy
39,threat,10,18,1603,n,healthy
39,threat,38,12,1708,y,healthy
39,threat,20,15,1956,n,healthy
39,threat,40,5,1473,y,healthy
39,threat,10,15,1372,n,healthy
39,threat,22,17,1565,n,healthy
39,threat,28,7,1020,y,healthy
39,threat,10,20,1968,n,healthy
39,threat,28,5,1137,y,healthy
39,threat,22,10,1144,n,healthy
39,threat,40,15,1440,y,healthy
39,threat,26,20,1552,n,healthy
39,threat,24,11,1304,y,healthy
39,threat,30,15,1144,y,healthy
39,threat,34,12,1188,y,healthy
39,threat,16,6,1100,y,healthy
39,threat,12,8,1020,y,healthy
39,threat,28,14,1777,y,healthy
39,threat,26,10,1145,y,healthy
39,threat,32,11,741,y,healthy
39,threat,24,7,1133,y,healthy
39,threat,34,14,880,y,healthy
39,threat,26,9,1307,y,healthy
39,threat,26,14,1412,y,healthy
39,threat,26,19,1117,y,healthy
39,threat,22,13,1725,y,healthy
39,threat,30,14,1337,y,healthy
39,threat,32,17,1925,n,healthy
39,threat,14,15,877,n,healthy
39,threat,26,8,1785,n,healthy
39,threat,28,16,1970,n,healthy
39,threat,12,17,1417,n,healthy
39,threat,38,15,1729,y,healthy
39,threat,36,6,1597,y,healthy
39,threat,16,10,1302,y,healthy
39,threat,18,9,1218,y,healthy
39,threat,20,11,1060,y,healthy
39,threat,34,5,843,y,healthy
39,threat,36,16,1631,n,healthy
39,threat,20,20,1463,n,healthy
39,threat,32,20,1207,n,healthy
39,threat,30,18,1051,y,healthy
39,threat,38,11,1275,y,healthy
39,threat,32,15,1292,y,healthy
39,threat,20,16,1554,n,healthy
39,threat,20,7,1279,y,healthy
39,threat,34,8,1431,y,healthy
39,threat,36,17,1195,n,healthy
39,threat,20,5,1372,y,healthy
39,threat,36,8,1324,y,healthy
39,threat,26,15,1349,n,healthy
